PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Mixed Use Property,CD-2,1,87458,,8475238.0,270.63,50,1,1,0
Supermarket / Grocery Store,CD-5,1,51400,74.0,11702959.0,303.69,5,1,1,0
Small- and Mid-Sized Office,CD-4,1,26263,64.0,1634669.375,11.4,23,0,1,0
Other,CD-3,1,21400,,5170809.5,158.6,48,1,1,0
Laboratory,CD-3,8,178000,,53166156.0,2549.47,16,0,1,1
Large Office,CD-2,4,162157,,40613740.0,537.03,11,1,1,0
Supermarket / Grocery Store,CD-7,4,33997,23.0,8926736.0,94.63,13,1,1,0
Large Office,CD-7,11,526423,97.0,17463744.0,163.19,4,1,1,0
Mixed Use Property,CD-7,6,74211,97.0,1357119.875,9.46,114,0,1,0
Warehouse,CD-2,2,45700,99.0,1544193.75,15.5,28,1,1,0
Other,CD-4,0,502030,,18470340.0,549.11,87,1,1,0
Other,CD-5,2,53575,,31803568.0,619.9,4,1,1,0
Large Office,CD-2,6,157345,63.0,11624548.0,92.07,4,1,1,0
Residence Hall,CD-4,5,136758,90.0,6275367.5,175.46,4,1,1,0
Residence Hall,CD-4,7,192259,72.0,8767617.0,191.97,4,1,1,0
Other,CD-1,2,137138,,5475367.0,38.17,4,0,1,0
Other,CD-3,7,267470,,42584028.0,1597.56,4,0,1,1
Hospital,CD-4,8,330000,58.0,57764408.0,1789.69,3,1,1,0
Retail Store,CD-7,3,43832,67.0,3886545.0,144.41,98,1,1,0
Other,CD-1,6,146363,,11730555.0,325.94,29,1,1,0
Supermarket / Grocery Store,CD-1,1,67263,78.0,14697487.0,352.77,5,1,1,0
Large Office,CD-7,13,354086,88.0,13458948.0,147.84,28,1,1,0
Worship Facility,CD-4,2,70292,37.0,1933811.625,57.59,8,1,1,0
Other,CD-7,7,90679,100.0,41680640.0,290.57,41,0,1,0
Laboratory,CD-7,8,339591,,41696464.0,1088.25,3,1,1,0
K-12 School,CD-3,2,35780,22.0,2912264.0,51.59,2,1,1,0
Large Office,CD-7,3,105061,100.0,1363191.625,9.5,3,0,1,0
Small- and Mid-Sized Office,CD-3,3,62662,67.0,2502131.0,20.1,3,1,1,0
Hotel,CD-6,4,62381,62.0,3497215.5,24.38,3,0,1,0
Senior Care Community,CD-3,6,79805,25.0,7531325.0,184.81,3,1,1,0
K-12 School,CD-5,2,48925,82.0,1662054.125,22.76,2,1,1,0
Other,CD-7,1,29000,,2429214.0,54.98,54,1,1,0
Other,CD-4,6,305025,,25959642.0,809.76,3,1,1,0
Large Office,CD-2,7,333714,,4581493.0,42.2,2,1,1,0
Other,CD-2,2,56988,,544172.375,16.13,2,1,1,0
Other,CD-1,2,44162,,1546484.875,38.13,6,1,1,0
Other,CD-2,1,53775,,12095818.0,457.51,3,1,1,0
Small- and Mid-Sized Office,CD-3,2,64820,,2274296.75,29.4,104,1,1,0
University,CD-3,2,99765,,3185005.25,74.3,23,1,1,0
University,CD-3,3,428347,,37022180.0,1280.81,91,1,1,1
Hospital,CD-3,8,374466,74.0,163945984.0,6330.91,96,0,1,1
Senior Care Community,CD-7,3,197395,,2737534.5,58.28,27,1,1,0
Supermarket / Grocery Store,CD-6,8,41198,44.0,7768057.5,82.58,6,1,1,0
Other,CD-2,1,20993,,923812.8125,10.8,2,1,1,0
Other,CD-2,0,40265,,2159170.25,51.39,7,1,1,0
University,CD-4,4,58779,,5000717.0,25.93,47,0,1,0
Residence Hall,CD-4,0,176225,91.0,4926695.0,103.65,5,1,1,0
University,CD-4,6,203030,,51168308.0,199.48,18,0,1,0
Residence Hall,CD-4,0,166991,19.0,15965859.0,437.2,63,1,1,0
Residence Hall,CD-4,0,89392,16.0,6960904.5,48.53,46,0,1,0
Residence Hall,CD-4,0,97040,69.0,3894142.5,62.41,5,1,1,0
Large Office,CD-7,6,427181,99.0,16371039.0,213.7,2,1,1,0
Self-Storage Facility,CD-2,4,101580,,940844.6875,9.91,2,1,1,0
Other,CD-4,3,33648,,1399581.625,9.76,2,0,1,0
Small- and Mid-Sized Office,CD-3,5,37873,,2346692.5,65.01,1,1,1,0
Large Office,CD-7,10,513816,,18760766.0,214.19,1,1,1,0
Hotel,CD-7,14,144614,89.0,5525072.5,50.32,1,1,1,0
Large Office,CD-7,12,480702,99.0,12720069.0,147.14,2,1,1,0
Mixed Use Property,CD-7,2,25532,,627854.125,4.38,2,0,1,0
Other,CD-2,2,108036,,4991893.5,91.98,1,1,1,0
Large Office,CD-7,12,483397,98.0,13998638.0,202.12,1,1,1,0
Large Office,CD-7,13,536697,98.0,13239050.0,245.16,2,1,1,0
Hotel,CD-4,4,126823,72.0,6042399.5,131.02,2,1,1,0
Warehouse,CD-2,1,52085,37.0,3605855.5,157.7,61,1,1,0
Small- and Mid-Sized Office,CD-2,2,24990,9.0,4420650.5,134.8,87,1,1,0
Other,CD-4,1,72000,,2925780.0,67.65,3,1,1,0
K-12 School,CD-3,3,45000,77.0,1325972.75,9.24,1,0,1,0
Mixed Use Property,CD-7,6,345290,,39364116.0,1000.06,1,1,1,0
University,CD-4,1,68072,,3180819.25,22.17,54,0,1,0
Mixed Use Property,CD-5,1,20616,,636965.5,4.44,11,0,1,0
Other,CD-3,1,11685,,851053.8125,29.18,3,1,1,0
Other,CD-6,1,11968,,783423.0,23.0,6,1,1,0
Other,CD-5,1,11285,,645665.375,14.37,67,1,1,0
Other,CD-6,1,16795,,936616.5,24.73,105,1,1,0
Other,CD-6,1,12769,,5117308.5,216.18,44,1,1,0
Other,CD-3,1,23445,,5976246.0,259.22,104,1,1,0
Mixed Use Property,CD-3,1,20050,,1813404.0,60.81,22,1,1,0
Other,CD-1,1,18261,,932082.125,20.33,34,1,1,0
Other,CD-2,1,16000,,950276.1875,32.17,12,1,1,0
Other,CD-7,1,13157,,5765898.0,223.54,42,1,1,0
Mixed Use Property,CD-1,1,14101,,719471.1875,22.11,27,1,1,0
Mixed Use Property,CD-2,1,18258,,1152896.25,41.27,78,1,1,0
