PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Large Office,CD-7,5,213283,83.0,5661689.5,39.47,20,0,1,0
Large Office,CD-4,3,103697,7.0,11319836.0,374.92,15,1,1,0
Small- and Mid-Sized Office,CD-5,5,74880,56.0,5134607.5,35.8,42,0,1,0
Small- and Mid-Sized Office,CD-5,6,88774,53.0,6029121.5,42.03,37,0,1,0
Large Office,CD-5,5,122250,93.0,5535626.0,38.59,33,0,1,0
Small- and Mid-Sized Office,CD-5,4,53730,20.0,4742869.0,33.06,37,0,1,0
Small- and Mid-Sized Office,CD-1,3,55593,55.0,4224872.5,93.23,56,1,1,0
Large Office,CD-7,4,134056,54.0,4695139.0,32.73,34,0,1,0
Retail Store,CD-2,1,158415,25.0,22394416.0,454.49,11,1,1,0
Large Office,CD-7,8,287819,,48406556.0,349.07,87,1,1,0
Other,CD-3,8,158738,,61762380.0,1268.87,41,1,1,1
Small- and Mid-Sized Office,CD-7,4,86995,81.0,2991674.75,20.86,31,0,1,0
Retail Store,CD-6,1,164437,62.0,18390344.0,326.18,17,1,1,0
Large Office,CD-7,5,184482,95.0,5671256.0,40.47,7,1,1,0
Laboratory,CD-7,3,55200,,11594121.0,269.71,88,1,1,0
Laboratory,CD-7,4,241159,,33713876.0,849.83,13,1,1,0
Large Office,CD-7,6,139282,96.0,3238216.0,22.57,12,0,1,0
Large Office,CD-7,5,271071,96.0,7851334.5,61.93,7,1,1,0
Warehouse,CD-3,5,127800,56.0,2767491.0,29.53,102,1,1,0
Large Office,CD-3,5,560516,71.0,30083496.0,632.4,14,1,1,0
Large Office,CD-3,6,226592,49.0,11963428.0,94.64,15,1,1,0
Mixed Use Property,CD-7,5,159700,,31371618.0,726.96,13,1,1,0
Large Office,CD-7,4,209816,97.0,6917478.5,122.68,10,1,1,0
Large Office,CD-7,6,303103,97.0,7519466.5,69.59,10,1,1,0
Mixed Use Property,CD-7,3,67380,66.0,2755829.0,74.1,62,1,1,0
Laboratory,CD-7,4,102235,,24395228.0,587.16,53,1,1,0
Mixed Use Property,CD-7,5,436497,,45252356.0,1019.53,8,1,1,0
Small- and Mid-Sized Office,CD-7,5,88062,80.0,3415561.25,23.81,42,0,1,0
Small- and Mid-Sized Office,CD-7,5,87178,69.0,3632613.75,25.32,44,0,1,0
Small- and Mid-Sized Office,CD-7,5,87178,86.0,3493093.75,24.35,46,0,1,0
Small- and Mid-Sized Office,CD-7,5,88000,75.0,3484915.5,24.29,45,0,1,0
Medical Office,CD-4,4,196749,5.0,19165116.0,477.87,28,1,1,0
Medical Office,CD-4,4,191276,21.0,8422861.0,77.99,22,1,1,0
Self-Storage Facility,CD-6,2,111445,,5697472.5,163.83,70,1,1,0
Warehouse,CD-1,4,98475,83.0,1090496.625,22.44,19,1,1,0
Hospital,CD-3,7,351530,23.0,42709624.0,1032.63,16,1,1,0
Supermarket / Grocery Store,CD-5,2,308965,78.0,14512786.0,277.98,21,1,1,0
Supermarket / Grocery Store,CD-2,1,63225,100.0,6522551.5,45.47,8,0,1,0
Other,CD-1,1,113780,,3574542.25,121.98,61,1,1,0
Warehouse,CD-2,1,243044,100.0,1396082.25,41.8,17,1,1,0
Other,CD-6,3,280252,,11521702.0,80.32,15,0,1,0
Other,CD-7,3,66462,,6876439.5,47.94,64,0,1,0
Retail Store,CD-5,1,131387,72.0,8773058.0,110.46,19,1,1,0
Warehouse,CD-5,3,94400,38.0,784364.5,10.24,17,1,1,0
Other,CD-5,1,111900,,9814820.0,226.43,52,1,1,0
Supermarket / Grocery Store,CD-5,1,144776,56.0,13424079.0,237.39,32,1,1,0
Retail Store,CD-5,1,114000,79.0,17225444.0,553.27,49,1,1,0
Supermarket / Grocery Store,CD-5,1,50083,78.0,8663691.0,158.92,19,1,1,0
Large Office,CD-6,3,124071,73.0,4991360.5,34.9,28,1,1,0
Small- and Mid-Sized Office,CD-6,4,90000,84.0,3897738.0,27.17,16,0,1,0
Small- and Mid-Sized Office,CD-6,3,96041,70.0,5413418.0,37.74,15,0,1,0
Large Office,CD-6,3,280957,96.0,11325513.0,94.47,17,1,1,0
Large Office,CD-6,4,243334,89.0,8651835.0,85.01,17,1,1,0
Mixed Use Property,CD-7,6,154660,,52960796.0,1623.34,25,1,1,1
Large Office,CD-2,5,390295,95.0,7683885.0,53.57,34,0,1,0
Warehouse,CD-2,2,90000,87.0,1429146.375,17.17,49,1,1,0
Retail Store,CD-2,1,50200,,1047461.0,32.22,50,1,1,0
Small- and Mid-Sized Office,CD-6,6,94033,,4758198.0,120.24,91,1,1,0
Warehouse,CD-6,2,63240,100.0,227566.7031,8.15,75,1,1,0
Other,CD-6,5,322869,,17085344.0,413.35,8,1,1,0
Self-Storage Facility,CD-7,4,130293,,465533.3125,3.25,28,0,1,0
Warehouse,CD-7,4,106041,94.0,1123943.0,25.58,19,1,1,0
Self-Storage Facility,CD-7,3,94470,,1000796.875,33.18,60,1,1,0
Large Office,CD-2,10,181694,88.0,7637986.0,53.25,14,0,1,0
Warehouse,CD-2,1,22780,33.0,402051.3125,2.8,50,0,1,0
Distribution Center,CD-2,1,124472,62.0,5464762.0,237.36,49,1,1,0
Large Office,CD-7,22,227556,95.0,8493420.0,59.21,46,0,1,0
Distribution Center,CD-2,1,50065,72.0,1529510.25,42.65,49,1,1,0
Distribution Center,CD-2,1,57540,26.0,2582687.0,76.68,47,1,1,0
Warehouse,CD-2,1,85400,49.0,1536998.25,10.72,50,0,1,0
Warehouse,CD-2,1,55700,63.0,519806.0938,3.62,50,0,1,0
Small- and Mid-Sized Office,CD-2,1,53250,96.0,1794187.25,46.93,52,1,1,0
Small- and Mid-Sized Office,CD-7,6,78672,98.0,2179719.75,28.63,29,1,1,0
Warehouse,CD-5,3,64660,89.0,325513.0,6.32,30,1,1,0
Mixed Use Property,CD-3,2,75844,,3684188.5,38.48,89,1,1,0
Distribution Center,CD-2,1,161678,25.0,9357230.0,204.81,48,1,1,0
Distribution Center,CD-2,1,101101,1.0,21795830.0,152.71,67,1,1,0
Distribution Center,CD-2,1,52613,80.0,1061458.25,32.02,36,1,1,0
Other,CD-2,1,56608,,5094197.0,74.31,76,1,1,0
Refrigerated Warehouse,CD-2,1,104099,,17695420.0,142.36,63,1,1,0
Supermarket / Grocery Store,CD-5,1,58184,41.0,14715262.0,414.43,13,1,1,0
Supermarket / Grocery Store,CD-5,1,58480,37.0,11054535.0,272.54,36,1,1,0
Large Office,CD-7,6,336700,95.0,9058916.0,54.92,11,0,1,0
Retail Store,CD-7,4,264008,42.0,9937707.0,190.61,20,1,1,0
Small- and Mid-Sized Office,CD-3,2,62220,32.0,5444253.5,38.55,102,1,1,0
Small- and Mid-Sized Office,CD-3,1,65430,89.0,3181045.5,90.24,46,1,1,0
Large Office,CD-4,3,102290,26.0,6062770.5,49.17,10,1,1,0
Other,CD-3,3,80004,,12232124.0,85.28,90,0,1,0
Warehouse,CD-2,2,323916,92.0,8024064.5,262.45,25,1,1,0
Mixed Use Property,CD-2,14,304052,66.0,21027396.0,247.35,84,1,1,0
Small- and Mid-Sized Office,CD-4,4,85385,,4855036.5,33.85,38,0,1,0
Distribution Center,CD-1,2,98024,94.0,1988334.5,42.25,27,1,1,0
Mixed Use Property,CD-7,1,65000,,2603931.25,63.89,88,1,1,0
Large Office,CD-7,5,144573,62.0,5135040.0,35.8,26,0,1,0
Retail Store,CD-5,2,302812,97.0,7290824.5,129.29,66,1,1,0
Small- and Mid-Sized Office,CD-5,5,86400,53.0,9080022.0,293.55,42,1,1,0
Other,CD-5,2,98539,,5450441.5,46.49,47,1,1,0
Small- and Mid-Sized Office,CD-5,6,86483,56.0,6361236.5,44.35,35,0,1,0
Distribution Center,CD-1,1,51600,75.0,1124543.125,22.1,40,1,1,0
